price,host_response_rate,host_listings_count,neighbourhood,property_type,room_type,bathrooms,accommodates,guests_included,minimum_nights,number_of_reviews,reviews_per_month,review_scores_rating,availability_30
195,100%,2,Barra da Tijuca,Apartment,Entire home/apt,1,3,3,3,131,1.71,94,14
89,100%,3,Copacabana,Apartment,Private room,1,2,1,2,99,1.33,96,25
178,90%,2,Copacabana,Apartment,Entire home/apt,1,4,2,3,77,0.99,97,3
167,100%,2,Barra da Tijuca,Apartment,Entire home/apt,1.5,2,2,28,20,0.28,99,16
143,100%,1,Copacabana,Apartment,Entire home/apt,1,4,2,2,122,1.58,99,12
342,100%,1,Ipanema,Apartment,Entire home/apt,2,4,4,2,84,1.11,88,28
256,100%,2,Ipanema,Apartment,Private room,2,2,1,3,10,0.15,87,29
157,N/A,1,Ipanema,Apartment,Private room,2,3,1,3,5,0.19,76,30
171,100%,11,Copacabana,Apartment,Entire home/apt,1,2,1,3,13,0.17,98,29
191,100%,11,Copacabana,Apartment,Entire home/apt,1,4,2,5,20,0.26,96,27
154,100%,2,Copacabana,Apartment,Entire home/apt,1,4,2,1,44,0.58,90,30
181,100%,41,Copacabana,Apartment,Entire home/apt,1,4,2,2,97,1.27,93,30
229,100%,31,Copacabana,Apartment,Private room,0,4,4,1,22,0.29,89,30
79,100%,31,Copacabana,Apartment,Entire home/apt,1,2,2,1,72,0.98,93,22
150,100%,31,Copacabana,Apartment,Private room,NA,3,3,1,14,0.18,97,30
161,100%,5,Copacabana,Apartment,Entire home/apt,1,4,2,3,69,0.9,89,0
256,100%,3,Ipanema,Apartment,Entire home/apt,1,4,2,2,137,1.79,95,15
171,100%,11,Copacabana,Apartment,Entire home/apt,1,4,2,3,21,0.28,100,29
342,N/A,2,Copacabana,Apartment,Entire home/apt,1,4,2,4,16,0.21,93,29
150,100%,3,Copacabana,Apartment,Private room,1,3,2,2,42,0.56,99,0
266,80%,1,Copacabana,Apartment,Entire home/apt,2,4,4,3,119,1.56,97,17
256,100%,1,Barra da Tijuca,Apartment,Entire home/apt,2,4,2,5,13,0.19,95,30
512,0%,2,Ipanema,Apartment,Entire home/apt,1,2,2,5,26,0.34,94,30
198,100%,1,Copacabana,Apartment,Entire home/apt,1,5,5,5,115,1.51,90,4
249,N/A,3,Copacabana,Apartment,Entire home/apt,1,3,1,2,8,0.12,87,28
219,100%,5,Ipanema,Apartment,Entire home/apt,1.5,4,3,2,24,0.32,97,13
65,100%,1,Copacabana,Apartment,Entire home/apt,1,3,2,3,44,0.58,95,0
134,100%,1,Copacabana,Apartment,Entire home/apt,1,4,4,5,68,1.41,88,12
359,0%,2,Barra da Tijuca,Apartment,Entire home/apt,2,4,6,3,8,0.13,85,24
222,N/A,1,Ipanema,Apartment,Private room,1,2,1,3,8,0.11,97,29
697,N/A,1,Ipanema,Apartment,Entire home/apt,2,4,4,4,14,0.22,100,0
181,100%,41,Copacabana,Apartment,Private room,1,2,2,3,30,0.44,97,30
205,86%,1,Copacabana,Apartment,Entire home/apt,1,2,1,4,22,0.29,97,4
181,100%,8,Copacabana,Apartment,Entire home/apt,1,2,2,3,126,1.66,82,8
150,100%,10,Ipanema,Apartment,Entire home/apt,1.5,4,2,2,79,1.07,94,19
167,90%,2,Ipanema,Apartment,Entire home/apt,1,2,2,4,25,0.39,89,29
420,80%,2,Ipanema,Apartment,Entire home/apt,2,4,4,2,15,0.2,86,8
222,100%,1,Copacabana,Apartment,Entire home/apt,1,3,2,2,38,0.55,99,22
297,100%,4,Copacabana,Apartment,Entire home/apt,2,5,4,2,89,1.19,99,28
130,N/A,2,Copacabana,Apartment,Entire home/apt,1,2,1,4,28,0.38,92,20
342,N/A,4,Ipanema,Apartment,Entire home/apt,2.5,8,6,4,13,0.18,88,0
222,100%,6,Ipanema,Apartment,Entire home/apt,1,2,2,4,113,1.55,99,11
137,100%,1,Ipanema,Apartment,Private room,1,2,1,3,10,0.19,96,29
126,100%,4,Copacabana,Apartment,Private room,1,2,1,1,34,0.46,95,30
154,100%,1,Copacabana,Apartment,Entire home/apt,1.5,8,4,2,59,0.81,97,22
130,100%,8,Copacabana,Apartment,Entire home/apt,1,2,2,3,106,1.45,89,30
253,100%,4,Copacabana,Apartment,Entire home/apt,2,5,4,3,158,2.13,96,11
225,100%,4,Copacabana,Apartment,Entire home/apt,2,6,4,3,151,2.04,95,19
89,100%,2,Ipanema,Apartment,Private room,1,2,1,3,29,0.45,95,30
232,100%,4,Ipanema,Apartment,Entire home/apt,2,3,2,3,14,0.19,91,0
147,100%,9,Copacabana,Apartment,Entire home/apt,1,4,2,3,5,0.19,96,5
99,100%,5,Copacabana,Apartment,Private room,3,2,1,5,7,0.1,100,28
271,100%,1,Copacabana,Apartment,Entire home/apt,1,2,1,3,90,1.21,98,29
307,N/A,1,Copacabana,Apartment,Entire home/apt,1,4,2,2,34,0.45,99,30
348,100%,3,Ipanema,Apartment,Entire home/apt,2,8,1,2,109,1.46,95,30
294,0%,2,Barra da Tijuca,Apartment,Entire home/apt,2,4,4,3,50,0.75,98,30
150,100%,8,Copacabana,Apartment,Entire home/apt,1,2,2,3,67,0.91,85,30
563,100%,2,Copacabana,Apartment,Entire home/apt,2,6,1,2,182,2.45,97,19
201,100%,3,Copacabana,Apartment,Entire home/apt,1,3,2,3,130,1.76,92,0
181,100%,1,Copacabana,Apartment,Entire home/apt,1,4,4,3,21,0.34,93,28
304,90%,3,Copacabana,Apartment,Entire home/apt,1,4,2,5,80,1.1,96,12
454,100%,4,Copacabana,Apartment,Entire home/apt,2,6,4,2,5,0.07,90,30
150,100%,4,Copacabana,Apartment,Entire home/apt,1,3,2,2,19,0.29,86,30
150,100%,4,Copacabana,Apartment,Entire home/apt,0,3,2,3,5,0.07,100,30
